-----------------------S1---------------------

Power Regression: 
389.74 x^ -0.42  (R^2 = 0.88)

-------------RESULTS----------------
Memory       Measured       Predicted
Power Regression: 
20187.75 x^ -0.45  (R^2 = 0.95)

-------------RESULTS----------------
Memory       Measured       Predicted

512           1357.19        1241.21
576           1319.93        1177.54
640           1279.95        1123.36
704           1148.21        1076.50
768           1112.41        1035.43
832           997.26         999.03
896           968.57         966.47
960           873.20         937.12
1024          840.58         910.47
1088          824.01         886.12
1152          813.60         863.76
1216          766.53         843.14
1280          719.94         824.02
1344          754.19         806.24
1408          753.60         789.65
1472          700.07         774.11
1536          699.11         759.52
1600          669.63         745.78
1664          696.56         732.82
1728          712.17         720.56
1792          677.90         708.94
1856          623.27         697.90
1920          709.93         687.40
1984          619.90         677.40
2048          618.14         667.85
2112          696.36         658.73
2176          579.42         650.00
2240          659.60         641.63
2304          660.85         633.60
2368          646.67         625.88
2432          671.36         618.46
2496          591.79         611.32
2560          620.18         604.44
2624          585.33         597.81
2688          642.02         591.40
2752          597.29         585.21
2816          663.41         579.23
2880          629.58         573.44
2944          649.92         567.83
3008          555.22         562.40

Session Time: 28 dk

-----------------------S19---------------------

Power Regression: 
65297.10 x^ -0.56  (R^2 = 0.90)

-------------RESULTS----------------
Memory       Measured       Predicted

320           4702.68        2598.86
384           3347.01        2347.09
448           2549.49        2153.34
512           2113.47        1998.49
576           1772.19        1871.17
640           1618.19        1764.17
704           1518.39        1672.65
768           1371.53        1593.26
832           1288.03        1523.55
896           1210.59        1461.74
960           1181.41        1406.45
1024          1108.03        1356.62
1088          1030.03        1311.42
1152          1091.04        1270.19
1216          988.88         1232.38
1280          1059.74        1197.56
1344          953.70         1165.34
1408          925.39         1135.43
1472          1004.51        1107.57
1536          951.31         1081.54
1600          942.75         1057.14
1664          977.04         1034.22
1728          874.95         1012.64
1792          954.04         992.26
1856          997.34         972.99
1920          858.60         954.73
1984          940.97         937.39
2048          966.43         920.90
2112          923.67         905.20
2176          937.33         890.22
2240          804.41         875.92
2304          913.41         862.24
2368          839.68         849.13
2432          941.14         836.57
2496          868.79         824.51
2560          863.05         812.93
2624          840.12         801.79
2688          932.50         791.06
2752          915.00         780.73
2816          930.54         770.76
2880          875.65         761.14
2944          908.86         751.85
3008          952.63         742.86

Session Time: 34 dk

-----------------------S20---------------------

Power Regression: 
56597.68 x^ -0.54  (R^2 = 0.90)

-------------RESULTS----------------
Memory       Measured       Predicted

320           4365.94        2528.79
384           3363.14        2292.16
448           2619.57        2109.46
512           2038.85        1963.01
576           1772.61        1842.30
